code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sh.600519,2020-03-15,2020-03-30,31.49,49.31,92.91,1644345751.33,1.4
sh.600519,2020-06-15,2020-06-30,34.57,57.9,93.45,9702107536.4,0.63
sh.600519,2020-09-15,2020-09-30,28.59,52.71,87.91,5295088673.16,2.09
sh.600519,2020-12-15,2020-12-30,28.6,41.38,87.47,1480989220.46,3.69
sh.600519,2021-03-15,2021-03-30,27.58,42.94,96.6,5190920940.29,1.5
sh.600519,2021-06-15,2021-06-30,29.62,47.28,90.5,1788188824.5,3.8
sh.600519,2021-09-15,2021-09-30,28.5,48.54,87.29,5002251410.1,1.13
sh.600519,2021-12-15,2021-12-30,35.86,54.11,84.51,5248673409.66,2.58
sh.600519,2022-03-15,2022-03-30,26.62,50.98,93.32,2040230337.95,0.93
sh.600519,2022-06-15,2022-06-30,31.11,49.42,88.65,2786355414.56,2.72
sh.600519,2022-09-15,2022-09-30,29.22,55.29,91.55,8041750109.46,1.25
sh.600519,2022-12-15,2022-12-30,25.31,46.62,92.75,8173068141.7,0.53
sh.600519,2023-03-15,2023-03-30,33.99,54.66,86.22,6270651455.59,5.94
sh.600519,2023-06-15,2023-06-30,29.97,47.6,89.16,3319314888.06,2.21
sh.600519,2023-09-15,2023-09-30,33.34,56.78,89.68,7161123393.51,1.24
sh.600519,2023-12-15,2023-12-30,33.91,51.81,96.92,4988576404.01,5.34
sh.600519,2024-03-15,2024-03-30,23.34,54.11,90.39,5134849842.53,1.81
sh.600519,2024-06-15,2024-06-30,30.3,48.9,91.61,7579956271.58,2.78
sh.600519,2024-09-15,2024-09-30,28.77,47.49,94.12,1947043582.97,4.72
sh.600519,2024-12-15,2024-12-30,32.19,50.49,94.36,8971303869.24,5.29
sh.600519,2025-03-15,2025-03-30,29.39,48.36,88.24,8621232774.24,4.9
sh.600519,2025-06-15,2025-06-30,27.11,50.03,88.94,2298867323.66,2.55
sh.600519,2025-09-15,2025-09-30,30.47,45.99,89.27,7059887693.06,3.4
sh.600519,2025-12-15,2025-12-30,32.71,51.29,89.66,2592644728.67,6.32
