code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sz.002594,2020-03-15,2020-03-30,18.38,4.66,20.98,1258963462.63,1.61
sz.002594,2020-06-15,2020-06-30,17.26,5.21,19.44,1101114493.62,2.33
sz.002594,2020-09-15,2020-09-30,19.22,4.75,19.53,9867731827.16,0.78
sz.002594,2020-12-15,2020-12-30,19.16,4.28,18.59,9477760916.1,3.21
sz.002594,2021-03-15,2021-03-30,14.71,4.89,20.31,9072908412.44,1.54
sz.002594,2021-06-15,2021-06-30,25.68,4.99,19.0,4739740355.74,0.55
sz.002594,2021-09-15,2021-09-30,19.91,4.59,20.52,3811218737.28,3.85
sz.002594,2021-12-15,2021-12-30,25.96,5.35,19.6,9635903140.46,1.55
sz.002594,2022-03-15,2022-03-30,19.72,5.01,20.1,5278668657.28,3.84
sz.002594,2022-06-15,2022-06-30,14.73,5.73,20.96,6312824992.83,1.61
sz.002594,2022-09-15,2022-09-30,22.96,5.09,22.19,1962399481.27,1.64
sz.002594,2022-12-15,2022-12-30,14.56,3.94,19.47,869572905.95,1.91
sz.002594,2023-03-15,2023-03-30,20.61,5.94,20.95,1709907699.51,2.98
sz.002594,2023-06-15,2023-06-30,16.02,4.34,21.83,8674032506.05,3.02
sz.002594,2023-09-15,2023-09-30,24.8,4.77,18.29,8436977339.04,4.83
sz.002594,2023-12-15,2023-12-30,25.67,4.94,21.24,2806730012.11,2.42
sz.002594,2024-03-15,2024-03-30,19.23,5.02,19.55,1378678210.0,2.01
sz.002594,2024-06-15,2024-06-30,22.31,5.06,20.51,6749836775.62,1.41
sz.002594,2024-09-15,2024-09-30,11.53,5.64,20.33,7745952078.18,1.44
sz.002594,2024-12-15,2024-12-30,15.46,5.59,20.07,5653285918.2,1.93
sz.002594,2025-03-15,2025-03-30,18.26,5.49,20.65,2208345198.94,2.72
sz.002594,2025-06-15,2025-06-30,26.34,5.53,18.24,4431001728.03,2.37
sz.002594,2025-09-15,2025-09-30,18.15,5.36,21.5,6258658332.26,1.74
sz.002594,2025-12-15,2025-12-30,19.87,4.15,19.94,9802322495.33,2.1
