code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sz.000858,2020-03-15,2020-03-30,21.9,28.37,72.33,4587559464.01,3.51
sz.000858,2020-06-15,2020-06-30,22.32,22.05,79.09,5640439279.95,2.09
sz.000858,2020-09-15,2020-09-30,20.97,28.89,69.72,4146468293.87,2.88
sz.000858,2020-12-15,2020-12-30,19.67,32.81,79.77,2297524403.14,0.59
sz.000858,2021-03-15,2021-03-30,24.47,26.61,73.03,2458009532.36,3.37
sz.000858,2021-06-15,2021-06-30,23.77,29.28,73.59,8571395034.25,3.57
sz.000858,2021-09-15,2021-09-30,21.22,33.48,70.95,8973724603.36,1.6
sz.000858,2021-12-15,2021-12-30,24.15,30.98,70.31,8937449939.66,2.32
sz.000858,2022-03-15,2022-03-30,21.03,33.15,72.36,2753830044.15,2.69
sz.000858,2022-06-15,2022-06-30,18.37,26.16,81.58,4417652638.44,2.25
sz.000858,2022-09-15,2022-09-30,23.23,29.71,72.96,4925568862.67,4.1
sz.000858,2022-12-15,2022-12-30,23.8,30.34,75.56,322446152.37,2.31
sz.000858,2023-03-15,2023-03-30,23.82,24.87,69.94,8365809344.31,1.09
sz.000858,2023-06-15,2023-06-30,25.13,30.06,76.3,2795842532.54,1.28
sz.000858,2023-09-15,2023-09-30,23.49,27.06,76.53,8314443856.7,3.23
sz.000858,2023-12-15,2023-12-30,17.79,30.77,78.69,6683863078.01,2.34
sz.000858,2024-03-15,2024-03-30,17.68,26.16,72.66,7406532802.62,1.0
sz.000858,2024-06-15,2024-06-30,23.28,30.56,72.17,3954026579.02,1.52
sz.000858,2024-09-15,2024-09-30,20.43,25.94,71.34,4812898981.77,2.53
sz.000858,2024-12-15,2024-12-30,26.36,31.48,75.69,2227909748.05,4.0
sz.000858,2025-03-15,2025-03-30,21.77,30.37,84.6,7732030817.08,1.79
sz.000858,2025-06-15,2025-06-30,23.21,29.9,81.64,4404790652.18,3.35
sz.000858,2025-09-15,2025-09-30,25.62,28.31,77.37,5943283602.0,1.76
sz.000858,2025-12-15,2025-12-30,26.42,27.82,74.07,1454504446.1,4.89
