code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sh.601088,2020-03-15,2020-03-30,13.85,21.24,35.31,7349026375.45,2.48
sh.601088,2020-06-15,2020-06-30,11.33,21.12,36.89,8507036950.5,1.72
sh.601088,2020-09-15,2020-09-30,13.86,16.68,35.75,5722657782.47,0.91
sh.601088,2020-12-15,2020-12-30,14.42,17.84,36.84,9713476627.14,2.7
sh.601088,2021-03-15,2021-03-30,14.22,21.36,35.05,8306263194.09,1.25
sh.601088,2021-06-15,2021-06-30,14.36,20.19,34.19,1293612169.2,1.05
sh.601088,2021-09-15,2021-09-30,14.74,19.04,37.2,3221374344.52,0.66
sh.601088,2021-12-15,2021-12-30,12.51,22.89,35.34,6296324626.73,1.14
sh.601088,2022-03-15,2022-03-30,15.13,21.78,35.14,8007954034.16,2.87
sh.601088,2022-06-15,2022-06-30,16.73,18.97,37.47,6312304085.86,1.87
sh.601088,2022-09-15,2022-09-30,13.71,22.91,37.76,1193693720.0,1.04
sh.601088,2022-12-15,2022-12-30,13.55,17.31,33.39,2412716735.39,1.16
sh.601088,2023-03-15,2023-03-30,14.83,20.47,37.71,9504615721.11,1.04
sh.601088,2023-06-15,2023-06-30,12.9,21.97,34.63,4727274961.37,2.47
sh.601088,2023-09-15,2023-09-30,12.65,20.76,35.29,5175616259.06,1.73
sh.601088,2023-12-15,2023-12-30,15.88,18.72,34.07,1945738795.23,1.09
sh.601088,2024-03-15,2024-03-30,13.93,22.38,37.49,1623569472.76,2.09
sh.601088,2024-06-15,2024-06-30,14.06,18.9,36.11,5416046786.64,1.02
sh.601088,2024-09-15,2024-09-30,18.3,23.59,33.93,9560949832.47,3.31
sh.601088,2024-12-15,2024-12-30,14.42,20.57,35.59,5553487969.03,2.06
sh.601088,2025-03-15,2025-03-30,15.15,18.4,32.59,5009169777.28,2.33
sh.601088,2025-06-15,2025-06-30,14.04,18.96,35.39,5001950617.44,2.46
sh.601088,2025-09-15,2025-09-30,20.55,18.94,34.14,5700746443.56,2.95
sh.601088,2025-12-15,2025-12-30,17.59,21.17,34.37,6618673163.12,2.91
