code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sz.000002,2020-03-15,2020-03-30,8.35,7.88,23.28,7973146387.41,0.66
sz.000002,2020-06-15,2020-06-30,9.02,7.61,21.52,8164289730.29,0.71
sz.000002,2020-09-15,2020-09-30,9.16,9.66,22.96,8184334450.77,1.02
sz.000002,2020-12-15,2020-12-30,6.7,6.37,20.89,3083640954.23,0.89
sz.000002,2021-03-15,2021-03-30,8.37,9.34,22.36,5481173325.03,0.95
sz.000002,2021-06-15,2021-06-30,7.42,8.19,22.85,9404338023.77,0.62
sz.000002,2021-09-15,2021-09-30,2.39,8.92,22.37,5381264810.57,0.49
sz.000002,2021-12-15,2021-12-30,6.64,8.15,22.27,3186048471.18,0.63
sz.000002,2022-03-15,2022-03-30,11.92,7.32,22.08,8779979803.94,1.94
sz.000002,2022-06-15,2022-06-30,6.69,8.83,21.44,8479877688.17,0.59
sz.000002,2022-09-15,2022-09-30,7.52,7.22,21.51,7250300427.09,0.73
sz.000002,2022-12-15,2022-12-30,10.11,8.7,23.49,5472971989.14,1.56
sz.000002,2023-03-15,2023-03-30,5.8,7.0,20.04,9478105062.16,0.81
sz.000002,2023-06-15,2023-06-30,14.88,8.22,20.76,6153396930.8,1.75
sz.000002,2023-09-15,2023-09-30,9.34,8.58,22.53,1610136524.85,1.47
sz.000002,2023-12-15,2023-12-30,9.8,9.51,23.48,7390797932.68,1.12
sz.000002,2024-03-15,2024-03-30,5.24,7.9,22.06,4050126768.31,0.82
sz.000002,2024-06-15,2024-06-30,13.58,7.87,21.53,145857027.75,2.28
sz.000002,2024-09-15,2024-09-30,5.15,6.68,22.91,3534836698.77,0.68
sz.000002,2024-12-15,2024-12-30,9.49,7.73,23.84,4579151209.71,0.81
sz.000002,2025-03-15,2025-03-30,8.52,7.78,19.03,3687699601.25,1.6
sz.000002,2025-06-15,2025-06-30,9.28,9.48,23.24,6669019982.97,0.52
sz.000002,2025-09-15,2025-09-30,8.42,7.11,24.83,7524608656.95,0.58
sz.000002,2025-12-15,2025-12-30,9.74,8.16,21.84,1987808434.57,0.8
