code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sh.600036,2020-03-15,2020-03-30,12.16,34.91,60.18,2858599995.94,0.6
sh.600036,2020-06-15,2020-06-30,20.93,34.33,60.9,4945582326.75,1.03
sh.600036,2020-09-15,2020-09-30,18.29,37.63,62.37,6359827722.88,1.66
sh.600036,2020-12-15,2020-12-30,14.18,37.05,66.57,8369494706.33,0.71
sh.600036,2021-03-15,2021-03-30,14.32,33.02,60.3,264219506.39,2.1
sh.600036,2021-06-15,2021-06-30,15.29,29.57,60.21,1826227647.15,2.15
sh.600036,2021-09-15,2021-09-30,14.46,40.42,57.65,8785659598.47,2.71
sh.600036,2021-12-15,2021-12-30,15.66,37.85,56.31,5596488034.83,2.65
sh.600036,2022-03-15,2022-03-30,13.39,35.65,60.78,3557174788.67,1.24
sh.600036,2022-06-15,2022-06-30,18.16,36.83,60.89,7820767903.99,3.28
sh.600036,2022-09-15,2022-09-30,15.24,35.81,60.88,1691999709.03,0.51
sh.600036,2022-12-15,2022-12-30,15.17,41.53,61.42,2320266163.66,2.15
sh.600036,2023-03-15,2023-03-30,14.95,37.75,63.48,8507311763.89,2.12
sh.600036,2023-06-15,2023-06-30,15.26,37.88,65.69,3740386450.29,0.74
sh.600036,2023-09-15,2023-09-30,15.12,32.14,59.77,6348272397.37,2.75
sh.600036,2023-12-15,2023-12-30,17.58,35.05,64.36,4975925168.81,2.24
sh.600036,2024-03-15,2024-03-30,18.45,32.0,56.79,9543892912.33,3.5
sh.600036,2024-06-15,2024-06-30,18.16,34.22,62.14,9290353769.62,0.55
sh.600036,2024-09-15,2024-09-30,18.15,34.75,57.46,3237527851.05,3.16
sh.600036,2024-12-15,2024-12-30,14.17,35.75,56.26,6990694987.08,2.69
sh.600036,2025-03-15,2025-03-30,15.73,35.54,60.17,7433609315.77,2.82
sh.600036,2025-06-15,2025-06-30,15.21,38.79,63.16,3006559258.22,1.41
sh.600036,2025-09-15,2025-09-30,18.53,36.8,61.55,6534642914.7,3.06
sh.600036,2025-12-15,2025-12-30,25.21,38.34,61.95,3446152052.83,4.54
