code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sz.002352,2020-03-15,2020-03-30,12.24,2.81,12.42,8037108022.39,1.89
sz.002352,2020-06-15,2020-06-30,13.57,3.31,11.68,8958684895.0,0.68
sz.002352,2020-09-15,2020-09-30,17.27,3.06,13.25,7342736265.38,2.05
sz.002352,2020-12-15,2020-12-30,9.24,2.8,11.71,2270218474.84,1.68
sz.002352,2021-03-15,2021-03-30,14.39,2.83,11.99,7220097604.9,1.82
sz.002352,2021-06-15,2021-06-30,20.87,3.01,12.07,6834259600.07,1.23
sz.002352,2021-09-15,2021-09-30,11.27,2.5,12.24,4312384011.04,1.8
sz.002352,2021-12-15,2021-12-30,14.89,2.63,11.12,497080994.98,2.95
sz.002352,2022-03-15,2022-03-30,13.5,3.31,13.01,8746890057.01,1.57
sz.002352,2022-06-15,2022-06-30,10.76,2.95,12.53,5964268253.07,0.96
sz.002352,2022-09-15,2022-09-30,18.51,3.41,11.62,9099421954.59,2.79
sz.002352,2022-12-15,2022-12-30,14.18,2.83,11.6,1891671831.82,2.77
sz.002352,2023-03-15,2023-03-30,12.8,3.35,12.33,5196691803.9,1.42
sz.002352,2023-06-15,2023-06-30,11.42,3.34,10.96,3971707212.85,0.79
sz.002352,2023-09-15,2023-09-30,7.72,3.35,11.72,4592516459.7,1.51
sz.002352,2023-12-15,2023-12-30,14.29,3.02,11.23,8305945322.24,1.29
sz.002352,2024-03-15,2024-03-30,6.97,2.87,12.9,1759430241.25,0.65
sz.002352,2024-06-15,2024-06-30,16.6,2.9,13.25,8076134514.21,2.88
sz.002352,2024-09-15,2024-09-30,17.32,3.07,11.84,665159875.28,1.3
sz.002352,2024-12-15,2024-12-30,12.41,3.22,12.03,1308888148.7,0.58
sz.002352,2025-03-15,2025-03-30,16.43,2.98,12.05,1568597689.52,0.62
sz.002352,2025-06-15,2025-06-30,5.51,3.27,12.21,5204400682.93,0.77
sz.002352,2025-09-15,2025-09-30,21.85,2.96,12.66,6766981089.92,1.28
sz.002352,2025-12-15,2025-12-30,9.34,2.81,13.15,1853782915.53,1.69
