code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM
sh.601633,2020-03-15,2020-03-30,0.5,3.96,16.83,1375909246.92,0.47
sh.601633,2020-06-15,2020-06-30,14.02,4.15,17.15,3522106104.91,0.92
sh.601633,2020-09-15,2020-09-30,9.62,4.38,17.11,504599301.04,0.77
sh.601633,2020-12-15,2020-12-30,13.02,3.79,17.29,978155084.19,0.87
sh.601633,2021-03-15,2021-03-30,9.66,3.59,17.5,6934908803.43,1.22
sh.601633,2021-06-15,2021-06-30,3.11,3.72,18.19,9216636765.26,0.61
sh.601633,2021-09-15,2021-09-30,9.63,3.91,18.55,2172558301.03,0.76
sh.601633,2021-12-15,2021-12-30,14.85,3.89,15.93,3752245031.74,2.03
sh.601633,2022-03-15,2022-03-30,20.47,3.9,18.52,5367923504.13,2.34
sh.601633,2022-06-15,2022-06-30,12.47,3.95,17.14,2500457985.98,1.56
sh.601633,2022-09-15,2022-09-30,6.06,3.43,17.42,8916220079.32,0.59
sh.601633,2022-12-15,2022-12-30,4.11,4.67,18.79,5034577769.4,0.75
sh.601633,2023-03-15,2023-03-30,11.36,3.66,19.37,1363044997.68,1.27
sh.601633,2023-06-15,2023-06-30,14.13,3.65,16.76,5750705216.22,2.0
sh.601633,2023-09-15,2023-09-30,2.51,4.23,17.41,2922442170.07,0.5
sh.601633,2023-12-15,2023-12-30,7.98,4.02,17.25,9825548307.4,0.95
sh.601633,2024-03-15,2024-03-30,9.77,3.64,17.48,6719567877.25,0.75
sh.601633,2024-06-15,2024-06-30,15.73,4.04,18.68,2871793027.24,2.01
sh.601633,2024-09-15,2024-09-30,7.22,4.23,17.31,2499856350.91,0.98
sh.601633,2024-12-15,2024-12-30,0.5,4.1,17.19,5854258392.08,0.38
sh.601633,2025-03-15,2025-03-30,11.1,3.52,17.41,1430705301.7,1.08
sh.601633,2025-06-15,2025-06-30,11.78,4.4,17.48,6846876950.02,0.97
sh.601633,2025-09-15,2025-09-30,14.68,4.58,15.78,9302338528.05,1.35
sh.601633,2025-12-15,2025-12-30,6.72,4.15,17.46,1894207355.04,1.29
